Location,Abortion Rate,Footnotes
United States,N/A,
Alabama,6,
Alaska,8.4,
Arizona,9.3,
Arkansas,5.4,
California,NR,
Colorado,8.3,
Connecticut,13.6,
Delaware,12.5,
District of Columbia,23,
Florida,19.1,
Georgia,17.1,
Hawaii,7,
Idaho,4.8,
Illinois,18.7,
Indiana,5.9,
Iowa,6.8,
Kansas,13.4,
Kentucky,4.8,
Louisiana,8.1,
Maine,8.8,
Maryland,NR,
Massachusetts,11.8,
Michigan,15.8,
Minnesota,9.5,
Mississippi,6.1,
Missouri,0.1,
Montana,8.4,
Nebraska,6.3,
Nevada,14.1,
New Hampshire,NR,
New Jersey,13.7,1
New Mexico,10.7,
New York,16.5,
North Carolina,14.4,
North Dakota,7.9,
Ohio,9.3,
Oklahoma,4.9,
Oregon,8.4,
Pennsylvania,13.5,
Rhode Island,12.6,
South Carolina,5.5,
South Dakota,0.8,
Tennessee,8.4,
Texas,9,
Utah,3.3,
Vermont,10.7,
Virginia,9.2,
Washington,11,
West Virginia,3.2,
Wisconsin,5.9,
Wyoming,0.8,
